"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.24873505239565e-202,1.67184879829775,0.623,0.293,9.9668229909941e-198,"0","SATB1"
9.47087901324191e-199,0.41908555433239,0.986,0.994,1.79842521582451e-194,"0","RPL13A"
1.35001087674661e-197,1.00644116575786,0.825,0.55,2.56353565385413e-193,"0","RGS10"
4.45253707220816e-197,1.58104631361495,0.602,0.259,8.45492264641607e-193,"0","NUCB2"
8.37204068708339e-186,0.564977014265169,0.991,0.973,1.58976680607027e-181,"0","BTG1"
8.36277307405327e-184,2.62005235702292,0.296,0.056,1.58800697903197e-179,"0","TMIGD2"
2.60683189869e-181,0.416198340733116,0.986,0.991,4.95011309242244e-177,"0","RPL23A"
1.384022282776e-179,0.991776629622063,0.848,0.547,2.62811991276336e-175,"0","SELL"
7.12761633359454e-178,0.380610719743609,0.984,0.992,1.35346306558627e-173,"0","RPS9"
4.56646295680492e-172,2.71565598709821,0.288,0.058,8.67125650867686e-168,"0","EPHX2"
4.2002525090875e-171,0.757239254462482,0.921,0.838,7.97585948950625e-167,"0","EIF3E"
1.27135667689199e-165,2.73035902725798,0.295,0.066,2.4141791937502e-161,"0","FHIT"
7.51820362341679e-165,2.37874852971917,0.309,0.071,1.42763168605061e-160,"0","AC005842.1"
3.27210732069194e-163,1.40367544445827,0.622,0.296,6.21340459126193e-159,"0","LINC00861"
7.43972586517613e-160,2.38007203642023,0.319,0.081,1.4127295445383e-155,"0","LINC01550"
1.42138807573552e-153,1.88405514115336,0.432,0.159,2.69907381701419e-149,"0","MYC"
2.43602568316389e-153,1.51271610394722,0.535,0.239,4.62576916975991e-149,"0","FLT3LG"
7.25064810874744e-153,1.96090113762972,0.425,0.16,1.37682556937005e-148,"0","IL6ST"
1.59278504373663e-151,1.60475853869032,0.484,0.194,3.02453951955149e-147,"0","ABLIM1"
2.22285399936364e-151,1.59468501928624,0.502,0.205,4.22097745939161e-147,"0","TRAT1"
2.40333682963276e-149,1.4886681798261,0.549,0.257,4.56369630578966e-145,"0","PIM2"
5.04134802180339e-149,0.405929568990342,0.984,0.985,9.57301575860245e-145,"0","RPL27"
1.12528208727307e-148,0.481070720301345,0.982,0.977,2.13679815552283e-144,"0","RPL23"
9.30064257565862e-147,0.370209854412537,0.987,0.992,1.76609901869182e-142,"0","RPL8"
3.19557540982828e-146,0.377504941691314,0.985,0.989,6.06807814572292e-142,"0","RACK1"
1.0568121145255e-142,0.35129850382818,0.991,0.994,2.00678052427247e-138,"0","RPS19"
6.52764543330311e-139,1.0201664681085,0.782,0.565,1.23953459132993e-134,"0","SNHG8"
5.21668878665628e-137,1.48900309187386,0.342,0.106,9.90597033698161e-133,"0","BEX3"
1.32373123207838e-136,1.13849068167392,0.67,0.369,2.51363323659363e-132,"0","RHOH"
9.855566699825e-136,0.827822473828399,0.896,0.672,1.87147356062977e-131,"0","GIMAP7"
1.2794874246087e-134,0.426956955375445,0.98,0.981,2.42961867058946e-130,"0","RPL27A"
5.84516484958952e-134,2.28404529672026,0.29,0.077,1.10993835328855e-129,"0","ITGA6"
4.33756378143631e-133,0.601173368689243,0.951,0.592,8.2365998645694e-129,"0","TRAC"
1.3998795262894e-132,0.553449185212269,0.966,0.916,2.65823123247095e-128,"0","RPL36A"
2.6593639286868e-132,0.721610554202833,0.913,0.638,5.04986616418337e-128,"0","TRBC2"
2.24976662825607e-131,0.328897051791657,0.989,0.996,4.27208185039545e-127,"0","NACA"
5.88943754080251e-130,1.0833828711772,0.623,0.317,1.11834529462299e-125,"0","FCMR"
1.61819595072107e-125,0.763837845084236,0.888,0.714,3.07279229082424e-121,"0","TRAF3IP3"
1.61093870278869e-124,0.616051071733287,0.999,0.999,3.05901150272545e-120,"0","MALAT1"
4.64923678810412e-123,2.11057627127163,0.306,0.094,8.82843573693091e-119,"0","RETREG1"
1.34980969716488e-121,0.428658932442199,0.975,0.979,2.56315363394639e-117,"0","EEF1D"
1.76124251503358e-114,0.548971157736397,0.886,0.516,3.34442341179727e-110,"0","CD3G"
4.57819344702426e-113,1.75770794681146,0.375,0.148,8.69353153655437e-109,"0","PCED1B"
1.29422546209028e-112,1.75856423320331,0.376,0.153,2.45760472996323e-108,"0","PRKCA"
1.41846439709528e-112,1.63004203908152,0.388,0.158,2.69352204364423e-108,"0","FAM102A"
1.53301133329267e-111,0.920298918834764,0.779,0.574,2.91103522078945e-107,"0","ATM"
1.9301300068018e-111,0.294956999438052,0.985,0.993,3.66512386991593e-107,"0","RPL15"
